#  plate  mjd fiber
4302 55531 167
4302 55531 169
4302 55531 174
4302 55531 124
4302 55531 125
4302 55531 128
4304 55506 452
4304 55506 412
4302 55531 50
4304 55506 372
4304 55506 332
4304 55506 289
4304 55506 288
4304 55506 295
4304 55506 246
4304 55506 293
4304 55506 252
4304 55506 250
4304 55506 210
4304 55506 212
4304 55506 177
4304 55506 84
4306 55584 449
4306 55584 450
4304 55506 50
4306 55584 444
4304 55506 42
4306 55584 448
4304 55506 44
4306 55584 404
4304 55506 48
4304 55506 43
4306 55584 380
4306 55584 300
4306 55584 292
4306 55584 245
4306 55584 204
4306 55584 130
4306 55584 131
4306 55584 126
4306 55584 140
4306 55584 98
4306 55584 96
4308 55565 403
4308 55565 410
4308 55565 416
4308 55565 364
4308 55565 366
4308 55565 284
4308 55565 282
4308 55565 253
4308 55565 248
4308 55565 164
4308 55565 170
4311 55506 444
4311 55506 446
4311 55506 449
4308 55565 86
4308 55565 88
4308 55565 48
4311 55506 366
4311 55506 406
4311 55506 362
4311 55506 363
4311 55506 373
4311 55506 365
4311 55506 330
4311 55506 244
4311 55506 241
4311 55506 202
4311 55506 211
4311 55506 204
4311 55506 163
4311 55506 169
396 51816 447
4311 55506 166
4311 55506 168
4311 55506 132
4311 55506 129
4311 55506 123
4311 55506 125
4311 55506 88
4311 55506 100
4311 55506 42
4315 55503 449
4315 55503 442
4315 55503 404
4315 55503 408
4315 55503 376
4315 55503 363
4315 55503 330
4315 55503 332
4315 55503 217
4315 55503 241
4315 55503 174
4315 55503 130
4315 55503 84
4315 55503 56
4315 55503 41
4314 55855 330
4314 55855 332
4314 55855 289
4314 55855 296
4314 55855 201
4314 55855 172
4314 55855 88
4314 55855 41
4276 55505 362
4276 55505 326
4276 55505 370
4276 55505 258
4276 55505 246
4276 55505 242
4276 55505 166
4276 55505 84
4276 55505 50
4275 55501 440
4275 55501 382
4275 55501 222
4275 55501 130
4273 55506 442
4316 55505 451
4316 55505 454
4316 55505 458
4316 55505 445
4316 55505 418
4316 55505 374
4316 55505 405
4316 55505 332
4316 55505 322
4316 55505 292
4316 55505 295
4316 55505 282
4316 55505 219
4316 55505 218
4316 55505 167
4316 55505 50
4316 55505 45
4316 55505 42
4316 55505 43
4316 55505 2
4316 55505 20
4316 55505 16
4321 55504 444
4316 55505 6
4321 55504 460
4321 55504 376
4321 55504 364
4321 55504 328
4321 55504 338
4321 55504 292
4321 55504 323
4321 55504 257
4321 55504 288
4321 55504 250
4321 55504 260
4321 55504 258
4321 55504 255
4321 55504 206
4321 55504 208
4321 55504 166
4321 55504 204
4321 55504 164
4321 55504 50
4321 55504 9
4322 55503 486
4322 55503 457
4322 55503 453
4322 55503 468
4321 55504 13
4322 55503 454
