#  plate  mjd fiber
702 52178 116
1556 53740 30
1556 53740 29
405 51816 193
405 51816 181
703 52209 276
702 52178 78
703 52209 230
405 51816 191
703 52209 275
405 51816 200
703 52209 222
703 52209 180
703 52209 184
703 52209 149
703 52209 155
1557 53301 78
1558 53271 303
2636 54082 281
2636 54082 299
2635 54114 317
406 51869 270
2636 54082 163
2636 54082 151
2636 54082 154
2634 54110 172
2637 54504 144
3615 55179 471
2635 54114 153
2636 54082 123
704 52205 153
2636 54082 86
2636 54082 53
2636 54082 90
2636 54082 87
3615 55179 393
2636 54082 42
2635 54114 103
2636 54082 15
3615 56544 313
3615 55179 306
2636 54082 16
3744 55209 353
3744 55209 267
3615 56544 65
3615 56544 73
3615 55179 7
3745 55234 353
705 52200 37
408 51821 310
407 51820 63
407 51820 68
408 51821 238
408 51821 239
407 51820 37
408 51821 187
706 52199 194
408 51821 171
3745 55234 95
3745 55234 94
706 52199 143
3650 55244 239
3650 55244 235
3650 55244 189
3650 55244 149
3651 55247 308
3650 55244 135
706 52199 63
1560 53317 36
707 52177 277
1561 53032 298
3650 55244 75
706 52199 37
1561 53032 300
707 52177 179
707 52177 153
1561 53032 156
3651 55247 125
409 51871 171
409 51871 145
409 51871 156
707 52177 109
707 52177 107
1561 53032 121
1561 53032 132
3651 55247 25
1561 53032 133
1561 53032 88
708 52175 272
1562 53052 265
707 52177 37
1562 53052 270
409 51871 24
708 52175 179
1068 52614 198
410 51877 172
708 52175 74
410 51877 144
410 51877 67
1512 53742 69
1563 52941 308
708 52175 30
677 52606 556
677 52606 514
677 52606 597
677 52606 594
678 52884 391
677 52606 632
677 52606 629
678 52884 429
381 51811 392
380 51792 37
381 51811 388
677 52606 636
380 51792 40
678 52884 438
677 52606 635
678 52884 478
678 52884 475
678 52884 474
381 51811 434
678 52884 486
678 52884 491
678 52884 496
678 52884 507
678 52884 541
678 52884 551
679 52177 346
381 51811 511
679 52177 274
679 52177 395
381 51811 560
382 51816 355
679 52177 399
381 51811 595
679 52177 477
679 52177 480
382 51816 518
679 52177 80
679 52177 585
680 52200 389
382 51816 558
382 51816 553
680 52200 396
680 52200 436
679 52177 628
382 51816 635
1485 52992 480
680 52200 553
680 52200 543
681 52199 392
681 52199 436
383 51818 595
1485 52992 592
383 51818 67
680 52200 637
384 51821 355
1485 52992 624
681 52199 475
1485 52992 39
384 51821 387
384 51821 434
384 51821 400
681 52199 520
681 52199 511
682 52525 358
384 51821 467
384 51821 494
384 51821 518
385 51877 347
681 52199 621
385 51877 359
1486 52993 595
682 52525 487
385 51877 440
385 51877 427
385 51877 438
385 51877 467
385 51877 477
385 51877 485
682 52525 556
682 52525 591
682 52525 594
385 51877 482
385 51877 499
683 52524 388
682 52525 627
385 51877 598
386 51788 302
1538 52937 392
683 52524 486
385 51877 640
1487 52964 32
684 52523 271
683 52524 554
1538 52937 231
1538 52937 478
683 52524 594
1538 52937 475
1538 52937 186
684 52523 439
1538 52937 479
684 52523 427
683 52524 37
1538 52937 495
1538 52937 493
1488 52965 493
1488 52965 511
684 52523 518
386 51788 639
685 52203 328
387 51791 392
387 51791 276
387 51791 435
387 51791 474
387 51791 194
684 52523 639
685 52203 168
387 51791 178
387 51791 152
387 51791 151
685 52203 138
685 52203 531
686 52519 354
685 52203 535
