#  plate  mjd fiber
6271 56304 678
6271 56304 676
6603 56567 164
6271 56304 757
6271 56304 766
6271 56304 932
6271 56304 974
6273 56243 506
6273 56243 534
6273 56243 527
6273 56243 616
6273 56243 400
6273 56243 658
6273 56243 700
6273 56243 276
6273 56243 268
6273 56243 264
6273 56243 240
6273 56243 236
6273 56243 228
6273 56243 148
6273 56243 146
6273 56243 108
6273 56243 70
6273 56243 62
6273 56243 28
6600 56566 408
6600 56566 362
6596 56331 880
6599 56567 572
6596 56331 952
6596 56331 944
6599 56567 606
6599 56567 650
6599 56567 652
6599 56567 682
6599 56567 644
6599 56567 694
6599 56567 722
6599 56567 726
6599 56567 728
6599 56567 778
6599 56567 772
6599 56567 802
6599 56567 807
6599 56567 854
6599 56567 892
6599 56567 896
6599 56567 900
6601 56335 512
6599 56567 928
6601 56335 506
6599 56567 976
6601 56335 508
6599 56567 978
6599 56567 980
6601 56335 478
6601 56335 480
6601 56335 460
6601 56335 418
6601 56335 455
6601 56335 420
6601 56335 417
6601 56335 416
6601 56335 374
6601 56335 335
6601 56335 330
6601 56335 332
6601 56335 334
6601 56335 296
6601 56335 292
6601 56335 283
6601 56335 262
6601 56335 268
6601 56335 211
6601 56335 208
6601 56335 206
6601 56335 106
6601 56335 108
6269 56246 672
6601 56335 63
6269 56246 754
6269 56246 784
6601 56335 22
6269 56246 864
6603 56567 332
6603 56567 290
6603 56567 252
6271 56304 598
6603 56567 212
6271 56304 632
6603 56567 216
6603 56567 172
6271 56304 668
6271 56304 672
6603 56567 126
6271 56304 708
6271 56304 760
6603 56567 90
6271 56304 791
6271 56304 793
6271 56304 790
6605 56565 412
6605 56565 410
6605 56565 404
6271 56304 873
6605 56565 324
6605 56565 334
6271 56304 920
6605 56565 244
6605 56565 242
6273 56243 522
6273 56243 505
6273 56243 560
6271 56304 985
6273 56243 566
6273 56243 684
6273 56243 682
6273 56243 730
6273 56243 722
6273 56243 770
6273 56243 774
6273 56243 816
6273 56243 814
6273 56243 77
6273 56243 979
6273 56243 76
6273 56243 73
6273 56243 80
6273 56243 34
6273 56243 40
6273 56243 18
6273 56243 36
6273 56243 10
6273 56243 16
6596 56331 822
6596 56331 869
6600 56566 328
6600 56566 284
6596 56331 915
6596 56331 910
6596 56331 908
6600 56566 248
6600 56566 246
6599 56567 560
6599 56567 586
6600 56566 128
6600 56566 130
6600 56566 86
6600 56566 88
6602 56571 404
6600 56566 84
6602 56571 403
6599 56567 674
6600 56566 42
6599 56567 720
6599 56567 716
6602 56571 364
6599 56567 748
6599 56567 760
6602 56571 369
6602 56571 284
6599 56567 795
6602 56571 286
6599 56567 800
6602 56571 282
6602 56571 246
6599 56567 874
6602 56571 205
6599 56567 924
6601 56335 520
6601 56335 505
6599 56567 964
6601 56335 536
6601 56335 532
6599 56567 966
6599 56567 984
6599 56567 982
6601 56335 602
6601 56335 608
6601 56335 694
6601 56335 693
6601 56335 722
6601 56335 770
6601 56335 811
6601 56335 158
6601 56335 842
6603 56567 490
6601 56335 73
6603 56567 496
6603 56567 467
6603 56567 466
6601 56335 10
6603 56567 470
6601 56335 16
6601 56335 14
6601 56335 8
6603 56567 385
6603 56567 387
6603 56567 391
6603 56567 340
6603 56567 355
6603 56567 342
6603 56567 308
6603 56567 262
6603 56567 298
6603 56567 222
6271 56304 666
6603 56567 140
6603 56567 179
6603 56567 98
6271 56304 821
6271 56304 796
6603 56567 52
6271 56304 832
6271 56304 826
6603 56567 54
6271 56304 872
6605 56565 406
6271 56304 829
6605 56565 405
6605 56565 374
6271 56304 868
6603 56567 57
6605 56565 336
6605 56565 340
6605 56565 325
6605 56565 288
6605 56565 285
6271 56304 905
6605 56565 214
6605 56565 168
6273 56243 634
6605 56565 43
6273 56243 672
6273 56243 712
6273 56243 714
6273 56243 716
6606 56596 446
6606 56596 448
6606 56596 401
6606 56304 363
6273 56243 836
6606 56596 402
6273 56243 838
6606 56596 363
6273 56243 878
6273 56243 882
6606 56596 242
6273 56243 930
6273 56243 961
6273 56243 972
6273 56243 987
6283 56239 730
6283 56239 766
6283 56239 774
6283 56239 761
6283 56239 770
6283 56239 815
6283 56239 845
6283 56239 853
6283 56239 888
6283 56239 846
6283 56239 950
6285 56248 518
6283 56239 952
6283 56239 930
6285 56248 514
6285 56248 525
6283 56239 956
6285 56248 537
6283 56239 998
6285 56248 572
6285 56248 438
6285 56248 398
6285 56248 360
6285 56248 656
6285 56248 353
6285 56248 314
6285 56248 318
6285 56248 280
6285 56248 276
6285 56248 274
6285 56248 278
6285 56248 240
6285 56248 238
6285 56248 192
6285 56248 194
6285 56248 152
6285 56248 118
6285 56248 156
6285 56248 112
6285 56248 34
6288 56192 466
6285 56248 40
6288 56192 490
6285 56248 29
6285 56248 38
6285 56248 23
6288 56192 462
6285 56248 16
6285 56248 18
6288 56192 424
6288 56192 428
6288 56192 386
6288 56192 387
6288 56192 375
6288 56192 332
6288 56192 296
6288 56192 336
6283 56239 712
6284 56310 444
6281 56295 53
6283 56239 715
6284 56310 442
6283 56239 720
6284 56310 441
6281 56295 56
6283 56239 756
6283 56239 750
6283 56239 840
6284 56310 372
6284 56310 334
6284 56310 370
6284 56310 324
6283 56239 914
6284 56310 244
6284 56310 242
6284 56310 204
6283 56239 980
6285 56248 508
6285 56248 570
6284 56310 82
6285 56248 684
6285 56248 692
6285 56248 690
6285 56248 734
6285 56248 700
6285 56248 766
6285 56248 774
6285 56248 772
6285 56248 763
6285 56248 780
6285 56248 768
6285 56248 808
6285 56248 818
6285 56248 852
6285 56248 856
6285 56248 896
6285 56248 892
6285 56248 987
6285 56248 1000
6288 56192 592
6288 56192 558
6288 56192 593
6288 56192 598
6288 56192 637
6288 56192 394
6288 56192 400
6288 56192 359
6288 56192 357
6288 56192 316
6288 56192 312
6288 56192 320
6288 56192 315
6288 56192 356
6288 56192 309
6288 56192 277
6288 56192 280
6288 56192 273
6288 56192 267
6288 56192 279
6288 56192 238
6288 56192 226
6288 56192 148
6288 56192 200
6288 56192 196
6288 56192 110
6283 56239 710
6281 56295 36
6284 56310 454
6281 56295 5
6284 56310 418
6284 56310 380
