#  plate  mjd fiber
6111 56270 659
6111 56270 656
6173 56238 37
6111 56270 654
6111 56270 658
6111 56270 360
6111 56270 699
6173 56238 20
6111 56270 736
6111 56270 695
6111 56270 700
6111 56270 738
6111 56270 740
6111 56270 776
6111 56270 820
6111 56270 816
6111 56270 860
6179 56221 520
6111 56270 160
6111 56270 108
6179 56221 478
6111 56270 934
6111 56270 26
6111 56270 36
6111 56270 34
6179 56221 394
6179 56221 276
6179 56221 278
6179 56221 158
6179 56221 191
6179 56221 160
6186 56246 495
6186 56246 478
6179 56221 36
6186 56246 434
6186 56246 396
6179 56221 18
6179 56221 16
6179 56221 15
6186 56246 392
6186 56246 276
6186 56246 275
6186 56246 278
6186 56246 272
6186 56246 227
6186 56246 182
6186 56246 230
6186 56246 150
6186 56246 142
6193 56237 466
6186 56246 104
6186 56246 78
6186 56246 63
6193 56237 453
6193 56237 456
6192 56269 822
6186 56246 28
6186 56246 10
6193 56237 418
6193 56237 298
6193 56237 256
6193 56237 219
6193 56237 179
6198 56211 664
6193 56237 139
6193 56237 100
6199 56220 484
6193 56237 60
6199 56220 460
6198 56211 824
6199 56220 451
6199 56220 443
6193 56237 22
6199 56220 456
6199 56220 420
6198 56211 908
6199 56220 414
6199 56220 416
6198 56211 906
6199 56220 374
6198 56211 972
6199 56220 340
6199 56220 254
6199 56220 218
6199 56220 214
6204 56220 586
6199 56220 220
6204 56220 670
6204 56220 668
6204 56220 716
6199 56220 102
6199 56220 64
6204 56220 754
6204 56220 760
6204 56220 752
6199 56220 100
6199 56220 53
6204 56220 789
6204 56220 798
6204 56220 834
6134 56244 628
6128 56236 124
6128 56236 122
6134 56244 672
6134 56244 667
6134 56244 760
6129 56301 442
6134 56244 748
6134 56244 790
6134 56244 800
6135 56192 588
6129 56301 206
6135 56192 627
6134 56244 948
6129 56301 170
6129 56301 166
6129 56301 162
6129 56301 171
6135 56192 634
6129 56301 127
6135 56192 675
6135 56192 668
6129 56301 88
6129 56301 87
6129 56301 95
6135 56192 718
6135 56192 792
6130 56214 456
6135 56192 790
6135 56192 830
6135 56192 866
6130 56214 444
6130 56214 448
6135 56192 946
6135 56192 948
6130 56214 254
6131 56211 481
6130 56214 6
6131 56211 400
6131 56211 390
6131 56211 388
6131 56211 395
6131 56211 392
6131 56211 352
6131 56211 394
6131 56211 318
6131 56211 313
6131 56211 234
6131 56211 200
6131 56211 192
6131 56211 111
6131 56211 114
6131 56211 116
6131 56211 120
6132 56267 508
6131 56211 72
6132 56267 529
6131 56211 40
6132 56267 531
6132 56267 530
6131 56211 13
6131 56211 8
6132 56267 577
6132 56267 574
6132 56267 580
6132 56267 618
6132 56267 613
6132 56267 654
6132 56267 658
6132 56267 648
6132 56267 691
6132 56267 740
6132 56267 689
6132 56267 732
6132 56267 761
6132 56267 818
6132 56267 849
6132 56267 860
6132 56267 846
6132 56267 888
6132 56267 898
6132 56267 884
6132 56267 882
6132 56267 924
6132 56267 932
6132 56267 938
6132 56267 963
6133 56246 502
6132 56267 999
6132 56267 996
6132 56267 994
6133 56246 532
6126 56269 242
6133 56246 528
6133 56246 524
6133 56246 570
6133 56246 568
