#  plate  mjd fiber
5040 56243 957
5034 56190 304
5034 56190 196
5034 56190 178
5034 56190 190
5034 56190 125
5034 56190 50
5034 56190 49
5034 56190 140
5034 56190 172
5034 56190 126
5034 56190 132
5034 56190 136
5034 56190 70
5034 56190 62
5034 56190 30
5034 56190 32
5034 56190 8
5034 56190 2
5034 56190 6
5034 56190 4
5034 56190 110
5034 56190 80
5034 56190 37
5034 56190 31
5034 56190 886
5034 56190 928
5034 56190 935
6128 56236 222
5034 56190 978
6134 56244 560
5034 56190 973
6134 56244 528
5034 56190 760
5034 56190 835
5034 56190 902
5034 56190 958
5034 56190 948
5034 56190 950
5034 56190 954
5034 56190 952
5034 56190 944
5034 56190 946
5034 56190 955
5034 56190 947
5034 56190 46
5034 56190 88
5034 56190 92
5034 56190 60
5034 56190 58
5034 56190 56
5034 56190 54
5034 56190 68
5034 56190 22
5034 56190 29
5034 56190 5
5034 56190 10
5034 56190 940
5034 56190 932
5034 56190 936
5034 56190 969
5034 56190 998
5034 56190 980
5034 56190 34
5034 56190 996
5034 56190 992
5034 56190 20
5034 56190 956
5034 56190 923
5034 56190 922
5034 56190 924
5034 56190 926
5034 56190 966
5034 56190 968
5034 56190 984
5034 56190 986
6128 56236 314
5034 56190 788
5034 56190 782
6128 56236 442
5034 56190 870
5034 56190 910
5034 56190 909
5034 56190 868
5034 56190 866
5034 56190 904
5034 56190 342
5040 56243 982
5034 56190 184
5034 56190 164
5034 56190 166
5034 56190 124
5034 56190 312
5034 56190 232
5034 56190 248
5034 56190 236
5034 56190 180
5034 56190 134
5034 56190 842
6128 56236 342
5034 56190 844
5034 56190 756
5034 56190 790
5034 56190 830
6128 56236 348
5034 56190 906
5034 56190 959
5034 56190 953
5034 56190 862
5040 56243 138
5040 56243 134
5040 56243 94
5040 56243 128
5040 56243 130
5040 56243 92
5040 56243 68
5046 56243 752
5046 56243 756
5040 56243 122
5046 56243 668
5040 56243 96
5040 56243 34
5040 56243 24
5040 56243 924
5040 56243 974
5040 56243 918
5040 56243 952
5034 56190 306
5040 56243 988
5040 56243 938
5034 56190 243
5046 56243 926
5046 56243 970
5046 56243 758
5046 56243 798
5046 56243 828
5046 56243 916
5046 56243 914
5046 56243 918
5046 56243 958
5046 56243 968
5046 56243 834
5046 56243 862
5046 56243 994
5046 56243 884
5046 56243 898
5046 56243 891
5046 56243 794
5046 56243 950
5040 56243 125
5046 56243 790
5046 56243 784
5046 56243 879
5046 56243 942
5051 56214 60
5051 56214 56
5056 55921 862
5051 56214 32
5051 56214 25
5051 56214 14
5051 56214 16
5051 56214 18
5051 56214 956
5051 56214 948
5051 56214 958
5051 56214 952
5051 56214 66
5056 55921 784
5051 56214 57
5056 55921 362
5056 55921 364
5060 56181 964
5056 55921 327
5056 55921 323
5056 55921 286
5056 55921 242
5056 55921 296
5056 55921 204
5056 55921 166
5056 55921 163
