#  plate  mjd fiber
4545 55567 606
4545 55567 601
4545 55567 729
4545 55567 728
4545 55567 764
4545 55567 770
4545 55567 772
4545 55567 844
4545 55567 848
4545 55567 936
4545 55567 894
4530 55564 512
4530 55564 572
4530 55564 576
4545 55567 996
4530 55564 656
4530 55564 696
4530 55564 698
4530 55564 738
4530 55564 740
4530 55564 737
4530 55564 779
4530 55564 778
4530 55564 820
4530 55564 818
4530 55564 814
4530 55564 856
4530 55564 896
4663 55893 385
4663 55893 352
4663 55893 190
4663 55893 192
4663 55893 12
4667 55868 468
4667 55868 376
4667 55868 312
4667 55868 309
4667 55868 296
4667 55868 224
4555 56189 567
4555 56189 646
4667 55868 176
4667 55868 174
4555 56189 686
4667 55868 180
4667 55868 94
4667 55868 98
4669 55831 484
4669 55831 488
4669 55831 482
4555 56189 765
4667 55868 96
4667 55868 57
4669 55831 460
4667 55868 56
4555 56189 762
4669 55831 464
4669 55831 458
4667 55868 8
4555 56189 844
4555 56189 845
4667 55868 10
4555 56189 906
4555 56189 902
4669 55831 408
4669 55831 367
4669 55831 296
4669 55831 338
4669 55831 300
4669 55831 258
4669 55831 255
4669 55831 288
4669 55831 254
4669 55831 253
4669 55831 259
4669 55831 218
4669 55831 178
4552 55884 590
4669 55831 174
4669 55831 20
4669 55831 18
4669 55831 12
4552 55884 744
4666 55832 456
4666 55832 412
4552 55884 904
4666 55832 413
4666 55832 420
4666 55832 409
4552 55884 952
4552 55884 948
4666 55832 174
4548 55565 598
4666 55832 108
4666 55832 166
4548 55565 630
4666 55832 112
4548 55565 718
4548 55565 753
4548 55565 794
4548 55565 842
4548 55565 880
4548 55565 917
4548 55565 918
4548 55565 882
4662 55590 450
4548 55565 920
4545 55567 564
4545 55567 560
4662 55590 370
4545 55567 600
4662 55590 338
4545 55567 644
4545 55567 680
4545 55567 642
4545 55567 684
4545 55567 774
4545 55567 878
4530 55564 508
4545 55567 932
4545 55567 930
4530 55564 514
4530 55564 530
4545 55567 974
4530 55564 616
4530 55564 654
4530 55564 692
4530 55564 648
4530 55564 810
4530 55564 808
4530 55564 852
4530 55564 854
4530 55564 893
4530 55564 888
4530 55564 892
4530 55564 932
4530 55564 938
4530 55564 996
4663 55893 660
4663 55893 620
4663 55893 658
4663 55893 656
4663 55893 696
4663 55893 316
4663 55893 280
4663 55893 278
4663 55893 780
4663 55893 200
4663 55893 198
4663 55893 78
4663 55893 940
4663 55893 72
4667 55868 428
4667 55868 389
4667 55868 398
4667 55868 320
4667 55868 316
4667 55868 318
4667 55868 310
4667 55868 272
4667 55868 240
4667 55868 194
4667 55868 156
4667 55868 110
4667 55868 74
4669 55831 494
4667 55868 114
4667 55868 80
4669 55831 468
4667 55868 14
4669 55831 426
4669 55831 422
4669 55831 390
4669 55831 350
4669 55831 224
4669 55831 226
4669 55831 144
4669 55831 124
4552 55884 664
4669 55831 84
4552 55884 746
4666 55832 486
4552 55884 748
4669 55831 39
4669 55831 35
4666 55832 468
4666 55832 474
4552 55884 824
4666 55832 426
4552 55884 862
4666 55832 382
4666 55832 417
4552 55884 914
4552 55884 903
4666 55832 378
4666 55832 376
4666 55832 348
4666 55832 337
4666 55832 379
4666 55832 345
4666 55832 298
4666 55832 254
4666 55832 258
4666 55832 262
4666 55832 220
4666 55832 240
4666 55832 184
4666 55832 180
4666 55832 178
4548 55565 594
4666 55832 118
4666 55832 120
4548 55565 624
4666 55832 52
4548 55565 664
4548 55565 668
4548 55565 667
4548 55565 704
4548 55565 745
4666 55832 10
4548 55565 827
4548 55565 824
4548 55565 865
4548 55565 866
4548 55565 864
4662 55590 412
4545 55567 544
4662 55590 326
4545 55567 552
4662 55590 290
4545 55567 588
4545 55567 634
4662 55590 296
4662 55590 246
4545 55567 714
4545 55567 706
4662 55590 162
4662 55590 140
4545 55567 792
4662 55590 94
4662 55590 134
4545 55567 835
4662 55590 90
4659 55587 442
4662 55590 46
4545 55567 954
4545 55567 948
4545 55567 950
4530 55564 554
4659 55587 161
4659 55587 162
4530 55564 718
4530 55564 716
4530 55564 760
4530 55564 758
4659 55587 88
4659 55587 82
4530 55564 802
4530 55564 833
4530 55564 834
4530 55564 880
4530 55564 879
4530 55564 844
4530 55564 920
4530 55564 918
4530 55564 878
4530 55564 923
4656 55828 326
4530 55564 956
4656 55828 282
4530 55564 960
4530 55564 959
4530 55564 958
4530 55564 968
4656 55828 244
4530 55564 982
4663 55893 603
4663 55893 604
4660 56191 170
4663 55893 690
4663 55893 694
4660 56191 128
4663 55893 848
4663 55893 972
4667 55868 510
4663 55893 988
4667 55868 574
4667 55868 576
4664 56192 204
4667 55868 652
4667 55868 644
4667 55868 660
4667 55868 723
4667 55868 812
4667 55868 814
4667 55868 809
4667 55868 818
4667 55868 820
4667 55868 846
4667 55868 852
4667 55868 898
4667 55868 940
4667 55868 928
4669 55831 502
4667 55868 960
4667 55868 948
4667 55868 942
4667 55868 998
4669 55831 610
4669 55831 650
4669 55831 620
4669 55831 360
4669 55831 356
4669 55831 358
4669 55831 352
4669 55831 697
4669 55831 695
4669 55831 656
4669 55831 698
4669 55831 732
4669 55831 318
4669 55831 240
4669 55831 238
4669 55831 200
4669 55831 854
4669 55831 196
4669 55831 860
4669 55831 158
4669 55831 896
4669 55831 134
4669 55831 932
4669 55831 978
4666 55832 516
4669 55831 92
4669 55831 974
4669 55831 72
4666 55832 518
4666 55832 538
4666 55832 499
4666 55832 534
4666 55832 436
4666 55832 438
4666 55832 609
4666 55832 400
4666 55832 399
4666 55832 395
4666 55832 398
4666 55832 397
4666 55832 389
4666 55832 394
4666 55832 346
4666 55832 304
4666 55832 314
4666 55832 318
4666 55832 222
4666 55832 194
4666 55832 196
4666 55832 198
4666 55832 152
4666 55832 126
4666 55832 132
4666 55832 90
4666 55832 86
4666 55832 65
4666 55832 36
4666 55832 30
4662 55590 480
4662 55590 467
4666 55832 32
4662 55590 386
4662 55590 344
4662 55590 352
4662 55590 304
4662 55590 266
4545 55567 662
4662 55590 222
4662 55590 170
4545 55567 744
4545 55567 748
4545 55567 746
4545 55567 824
4545 55567 822
4545 55567 788
