#  plate  mjd fiber
6507 56478 706
7141 56565 44
7141 56565 50
6507 56478 703
6505 56560 422
7141 56565 54
6505 56560 414
6505 56560 458
6507 56478 742
7141 56565 58
6505 56560 430
6507 56478 824
6507 56478 821
6507 56478 864
6505 56560 342
6505 56560 391
6507 56478 906
6507 56478 912
6507 56478 914
6505 56560 300
6505 56560 298
6505 56560 306
6510 56486 377
6510 56486 378
6510 56486 303
6510 56486 260
6510 56486 230
6510 56486 192
6510 56486 184
6510 56486 144
6510 56486 150
6510 56486 146
6510 56486 104
6510 56486 143
6510 56486 108
6510 56486 66
6509 56486 432
6509 56486 478
6510 56486 76
6509 56486 396
6509 56486 400
6509 56486 397
6509 56486 358
6509 56486 398
6509 56486 356
6509 56486 779
6509 56486 810
6509 56486 816
6509 56486 766
6509 56486 808
6509 56486 856
6509 56486 937
6509 56486 900
6509 56486 929
6509 56486 885
6509 56486 942
6509 56486 950
6509 56486 989
6508 56535 502
6508 56535 510
7142 56567 246
6508 56535 544
7142 56567 205
6508 56535 748
7141 56565 446
6508 56535 866
7141 56565 365
6508 56535 949
7141 56565 207
7141 56565 70
7141 56565 68
6505 56560 466
7141 56565 26
6505 56560 468
6505 56560 398
7141 56565 4
6505 56560 392
6505 56560 394
6505 56560 393
6505 56560 316
6505 56560 312
6510 56486 388
6510 56486 240
6510 56486 200
6510 56486 197
6510 56486 195
6509 56486 540
6509 56486 649
6510 56486 992
6509 56486 696
6509 56486 735
6509 56486 738
6509 56486 727
6509 56486 736
6509 56486 739
6509 56486 733
6509 56486 776
6509 56486 854
6509 56486 844
6509 56486 860
7142 56567 446
6509 56486 867
7142 56567 364
7142 56567 328
7142 56567 338
7142 56567 178
7141 56565 482
7142 56567 64
6508 56535 830
7141 56565 436
7141 56565 200
7141 56565 153
7141 56565 156
7141 56565 160
7141 56565 112
6505 56560 532
7141 56565 40
7141 56565 940
6505 56560 538
7141 56565 980
6505 56560 578
6505 56560 580
7141 56565 36
6505 56560 660
7141 56565 998
6505 56560 692
6505 56560 698
6510 56486 618
6510 56486 610
6510 56486 696
6510 56486 740
6510 56486 772
6510 56486 774
6510 56486 816
6510 56486 808
6510 56486 847
6510 56486 852
6509 56486 510
6510 56486 854
6509 56486 526
6509 56486 554
6510 56486 890
6509 56486 596
6510 56486 982
6509 56486 677
6509 56486 638
6509 56486 678
6509 56486 754
7142 56567 452
6509 56486 792
7142 56567 454
7142 56567 460
7142 56567 461
7142 56567 458
6509 56486 880
7142 56567 473
7142 56567 456
7142 56567 416
6509 56486 876
7142 56567 414
7142 56567 425
